s7,1867.78,2978.00,0
k0002,1867.78,2918.89,0
k0003,1754.44,2918.89,0
k0004,1703.33,2953.33,0
k0005,1983.33,2918.89,0
k0006,2032.22,2953.33,0
k0007,1867.78,2689.00,0
k0047,1524.44,2689.00,0
k0046,1398.89,3082.22,0
k0009,2323.33,3078.89,0
k0010,2212.22,3105.56,0
57,2137.78,3142.22,0
60,1594.44,3138.89,0
k0048,1524.44,3122.22,0
k0050,1408.89,3255.56,0
k0052,1307.78,3152.22,0
k0058,1145.56,3168.89,0
k0056,1281.11,3504.44,0
k0051,1486.67,3255.56,0
1,1483.33,3468.89,0
k0057,1164.44,3212.22,0
k0055,1262.22,3457.78,0
k0053,1257.78,3176.67,0
k0054,1352.22,3420.00,0
2a,1356.67,3541.11,0
k0011,2403.33,3167.78,0
k0016,2426.67,3497.78,0
k0017,2397.78,3567.78,0
56,2456.67,3541.11,0
k0012,2456.67,3190.00,0
k0014,2353.33,3420.00,0
k0015,2441.11,3456.67,0
k0013,2546.67,3225.56,0
56a,2365.56,3595.56,0
2,1181.11,3252.22,0
48,2527.78,3264.44,0
k0059,1102.22,3068.89,0
3,1167.78,3041.11,0
k0060,993.33,2772.22,0
k0061,977.78,2736.67,0
4,1043.33,2707.78,0
k0062,912.22,2582.22,0
k0063,897.78,2547.78,0
6,958.89,2525.56,0
k0064,830.00,2371.11,0
k0066,788.89,2266.67,0
8,716.67,2353.33,0
k0065,830.00,2307.78,0
9,722.22,2103.33,0
k0019,2421.11,2927.78,0
k0020,2462.22,2841.11,0
k0022,2590.00,2556.67,0
k0024,2634.44,2457.78,0
k0026,2726.67,2246.67,0
k0025,2680.00,2475.56,0
k0023,2642.22,2577.78,0
k0021,2514.44,2864.44,0
43,2571.11,2890.00,0
k018,2372.22,3025.56,0
42,2693.33,2600.00,0
k0049,1381.11,3234.44,0
k0045,1307.78,2996.25,0
k0041,1005.56,2223.33,0
k0042,948.89,2092.22,0
k0043,997.78,2073.33,0
k0044,1033.33,2060.00,0
k0122,937.78,1816.67,0
k0039,1425.45,2064.55,0
k0037,1607.78,1988.89,0
k0036,1833.33,1905.56,0
k0035,1884.44,1905.56,0
k0034,1935.56,1905.56,0
k0032,2138.89,1994.44,0
k0030,2335.56,2077.78,0
k0027,2783.33,2110.00,0
k0028,2738.89,2093.33,0
k0029,2655.56,2056.67,0
k0178,2761.11,1797.78,0
k0031,2360.00,2028.89,0
88,2381.11,1980.00,0
k0033,2164.44,1944.44,0
87,2188.89,1892.22,0
k0067,1887.78,1807.78,0
k0068,1944.44,1808.89,0
k0069,1887.78,1753.33,0
k0070,1833.33,1753.33,0
66,1790.00,1753.33,0
k0071,1887.78,1593.33,0
k0072,1943.33,1593.33,0
k0074,1887.78,1488.89,0
k0075,1836.67,1488.89,0
k0076,1785.56,1488.89,0
k0077,1655.56,1488.89,0
68,1655.56,1561.11,0
69,1785.56,1420.00,0
k0078,1887.78,1383.33,0
k0079,1946.67,1383.33,0
74,1995.56,1383.33,0
k0080,1887.78,1283.33,0
k0082,1946.67,1283.33,0
k0081,1833.33,1283.33,0
70,1780.00,1282.22,0
k0083,2001.11,1283.33,0
k0084,1886.67,1070.00,0
k0085,1944.44,1068.89,0
k0087,1830.00,1071.11,0
k0086,2000.00,1071.11,0
73,2000.00,1172.22,0
k0089,1888.89,848.89,0
k0092,1833.33,850.00,0
k0093,1788.89,850.00,0
k0094,1891.11,757.78,0
k0095,1943.33,757.78,0
k0097,1830.00,757.78,0
k0099,1891.11,681.11,0
k0090,1943.33,850.00,0
72,1991.11,802.22,0
k0091,1991.11,850.00,0
k0096,1991.11,757.78,0
71a,1788.89,802.22,0
k0098,1788.89,757.78,0
86,1994.44,1808.89,0
k0038,1588.89,1948.89,0
65,1578.89,1923.33,0
k0040,1406.67,2020.00,0
64,1390.00,1975.56,0
k0073,1994.44,1616.67,0
k0303,2155.83,1616.67,0
k0185,2815.56,2034.44,0
k0186,2871.11,2060.00,0
k0187,3058.89,1493.33,0
k0188,3112.22,1514.44,0
37,3166.67,1535.56,0
k0107,2107.78,598.89,0
k0108,2170.00,521.11,0
k0109,2602.22,704.44,0
k0110,2668.89,731.11,0
k0111,2726.67,757.78,0
k0215,2693.33,677.78,0
k0101,1686.67,598.89,0
k102,1615.56,460.00,0
k0100,1891.11,598.89,0
k0103,1588.89,416.67,0
47c,1622.22,403.33,0
k0104,1574.44,377.78,0
k0105,1517.78,442.22,0
k0106,1504.44,403.33,0
47a,1486.67,353.33,0
47b,1555.56,336.67,0
k0112,2772.22,748.89,0
k0116,2714.44,637.78,0
k0117,2654.44,608.89,0
25,2610.00,588.89,0
k0115,2768.89,662.22,0
20abc,2858.89,696.67,0
k0113,2813.33,728.89,0
k0114,2828.89,685.56,0
k0118,2706.67,578.89,0
k0301,2785.56,395.56,0
k0119,2273.33,563.33,0
k0302,968.89,405.83,0
s1,2813.33,1816.67,0
k0181,2797.78,1774.44,0
k0182,2818.89,1717.78,0
k0183,2680.00,1656.67,0
k0184,2946.67,940.00,0
w2,3112.22,563.33,0
k0179,2785.56,1807.78,0
k0123,968.89,1804.44,0
k0125,953.33,1760.00,0
k0126,948.89,922.22,0
k0127,930.00,868.89,0
k0128,1175.56,835.56,0
k0129,1154.44,782.22,0
k0130,1390.00,752.22,0
k0135,1347.78,507.78,0
k0132,1257.78,542.22,0
w1,1224.44,321.11,0
k0136,1406.67,485.56,0
k0137,1420.00,521.11,0
k0138,1391.11,448.89,0
47,1370.00,395.56,0
47d,1436.67,563.33,0
47g,1443.33,471.11,0
k0133,1203.33,563.33,0
k0134,1192.22,531.11,0
46,1175.56,482.22,0
k0139,1125.56,718.89,0
k0140,1193.33,692.22,0
19,1224.44,681.11,0
k0141,1107.78,668.89,0
k0143,1060.00,634.44,0
k0142,1090.00,624.44,0
k0144,1053.33,748.89,0
k0145,906.67,806.67,0
k0146,885.56,757.78,0
18abc,865.56,704.44,0
k0147,763.33,863.33,0
k0148,713.33,883.33,0
k0149,696.67,830.00,0
k0150,676.67,776.67,0
16,702.22,765.56,0
k0151,616.67,618.89,0
k0152,513.33,656.67,0
17,533.33,715.56,0
k0153,658.89,904.44,0
k0154,505.56,965.56,0
k0156,477.78,976.67,0
k0157,455.56,922.22,0
k0155,522.22,1006.67,0
k0158,424.44,997.78,0
k0160,476.67,1138.89,0
k0162,533.33,1293.33,0
k0164,542.22,1314.44,0
k0168,574.44,1394.44,0
k0172,595.56,1454.44,0
k0174,688.89,1696.67,0
k0175,714.44,1687.78,0
k0176,781.11,1661.11,0
k0177,803.33,1717.78,0
5,830.00,1778.89,0
k0171,714.44,1485.56,0
10,748.89,1472.22,0
k0170,663.33,1361.11,0
k0169,596.67,1386.67,0
k0173,570.00,1465.56,0
11,533.33,1480.00,0
k0165,566.67,1303.33,0
k0166,628.89,1283.33,0
k0167,602.22,1207.78,0
14,636.67,1194.44,0
k0163,510.00,1303.33,0
11a,473.33,1320.00,0
k0161,452.22,1148.89,0
12,418.89,1165.56,0
k0159,397.78,1011.11,0
13,362.22,1026.67,0
15abcdefg,392.22,865.56,0
k0131,1303.33,526.67,0
40,2926.67,2085.56,0
41,2728.89,2501.11,0
k0189,3142.22,1296.67,0
k0190,3201.11,1318.89,0
36,3248.89,1340.00,0
k0191,3184.44,1203.33,0
k0192,3242.22,1227.78,0
35,3292.22,1248.89,0
k0193,3223.33,1115.56,0
k0194,3285.56,1138.89,0
34,3331.11,1161.11,0
k0195,3277.27,987.78,0
k0196,3224.44,971.11,0
k0197,3172.22,951.11,0
k0198,3194.44,900.00,0
30,3224.44,830.00,0
31,3156.67,987.78,0
k0199,3304.55,941.82,0
k0200,3315.45,904.44,0
k0204,3417.27,948.18,0
k0207,3456.67,962.50,0
k0201,3327.27,877.27,0
k0202,3347.27,832.73,0
k0203,3400.00,853.64,0
k0206,3450.00,868.89,0
32,3411.82,821.82,0
k0205,3430.00,918.18,0
k0208,3490.83,976.67,0
k0209,3539.09,865.56,0
k0210,3564.55,877.27,0
33,3598.18,892.73,0
k0211,1193.33,2304.00,0
k0212,2541.00,2322.00,0
k0213,1880.91,2034.44,0
k0008,2185.45,2676.36,0
k0214,2557.27,2623.64,0
s3,1005.56,1792.22,0
gmini,3500.00,-1620.00,0
ge,640.00,-1510.00,0
s4,2843.33,423.33,0
s6,1034.17,380.00,0
s2,2155.00,1571.67,0
s8,1872.50,2958.75,1
k1005,1876.25,3122.50,1
k1003,2088.75,3132.50,1
k1004,2083.75,2837.50,1
s10,1988.75,2838.75,1
k1007,1647.50,3122.50,1
k1008,1647.50,2838.75,1
s9,1745.00,2838.75,1
w5,2093.75,3780.00,1
w4,1876.25,3780.00,1
w3,1660.00,3780.00,1
k1002,2093.75,3231.25,1
k1001,1885.00,3236.25,1
k1000,1670.00,3235.00,1
k1009,1395.00,3116.25,1
k1010,1395.00,3187.50,1
k1011,1520.00,3387.50,1
102,1520.00,3561.25,1
155,2231.25,3626.25,1
k1045,2213.75,3545.00,1
k1046,2341.25,3527.50,1
k1044,2276.25,3497.50,1
k1047,2337.50,3458.75,1
154,2371.25,3567.50,1
k1043,2246.25,3396.25,1
152a,2200.00,3397.50,1
k1040,2296.25,3286.25,1
k1041,2342.50,3302.50,1
152,2456.25,3353.75,1
k1042,2402.50,3326.25,1
k1039,2347.50,3197.50,1
k1038,2347.50,3132.50,1
k1012,1300.00,3150.00,1
k1013,1162.50,3210.00,1
k1017,1148.75,3166.25,1
k1014,1215.00,3325.00,1
k1015,1245.00,3403.75,1
103,1175.00,3435.00,1
k1016,1281.25,3497.50,1
102a,1305.00,3551.25,1
104,1096.25,3235.00,1
k1018,1123.75,3110.00,1
105,1065.00,3135.00,1
k1019,1183.75,3086.25,1
k1020,1168.75,3052.50,1
k1032,1318.75,2943.75,1
k1033,1237.50,2970.00,1
k1021,1183.75,2991.25,1
106,1145.00,2981.25,1
k1035,1121.25,2662.50,1
k1027,1067.50,2685.00,1
k1026,1087.50,2731.25,1
k1024,1133.75,2845.00,1
k1022,1171.25,2943.75,1
k1023,1150.00,2892.50,1
k1025,1110.00,2786.25,1
k1028,1052.50,2641.25,1
107,1175.00,2880.00,1
108,1137.50,2773.75,1
k1029,1032.50,2583.75,1
110,1058.75,2572.50,1
k1030,1011.25,2545.00,1
k1031,991.25,2492.50,1
k1037,1042.50,2468.75,1
k1036,1121.25,2442.50,1
k1076,967.50,2411.25,1
109,1031.25,2676.25,1
k1048,2443.75,2915.00,1
k1049,2485.00,2936.25,1
149b,2528.75,2958.75,1
k1050,2480.00,2838.75,1
k1051,2517.50,2855.00,1
149a,2562.50,2878.75,1
k1052,2562.50,2645.00,1
k1053,2600.00,2662.50,1
148a,2642.50,2685.00,1
k1054,2650.00,2450.00,1
k1055,2690.00,2470.00,1
148,2738.75,2496.25,1
k1034,1196.25,2636.25,1
s00,2812.50,1825.00,1
k1105,2710.00,2075.00,1
k1106,2655.00,2050.00,1
s13,2758.75,1800.00,1
s11,940.00,1807.50,1
s12,997.50,1786.25,1
k1079,1031.25,2060.00,1
k1080,1091.25,2037.50,1
k1078,997.50,2075.00,1
k1077,955.00,2093.75,1
k1104,2732.50,2085.00,1
k1103,2793.75,2111.25,1
k1196,2745.00,2231.25,1
k1107,2836.25,2007.50,1
k1108,2886.25,2026.25,1
k1109,2932.50,2050.00,1
k1111,2945.00,1761.25,1
k1112,2997.50,1786.25,1
k1113,3040.00,1807.50,1
k1110,2991.25,1918.75,1
147,3028.75,1935.00,1
k1114,2987.50,1666.25,1
k1115,3040.00,1691.25,1
k1118,3125.00,1358.75,1
k1119,3175.00,1382.50,1
k1120,3218.75,1406.25,1
k1117,3157.50,1541.25,1
146,3193.75,1558.75,1
k1116,3082.50,1712.50,1
k1057,2347.50,2065.00,1
k1058,2362.50,2026.25,1
166,2385.00,1977.50,1
k1059,2150.00,1977.50,1
k1060,2165.00,1946.25,1
165,2185.00,1905.00,1
k1061,2056.25,1941.25,1
k1062,2073.75,1901.25,1
164,2088.75,1870.00,1
k1063,1897.50,1873.75,1
k1072,1011.25,2231.25,1
k1073,916.25,2272.50,1
k1074,885.00,2286.25,1
112,847.50,2300.00,1
k1075,935.00,2318.75,1
111,912.50,2433.75,1
k1070,1436.25,2063.75,1
k1071,1416.25,2013.75,1
k1064,1720.00,1950.00,1
k1065,1698.75,1905.00,1
k1081,1895.00,1745.00,1
k1086,1891.25,1525.00,1
k1082,1891.25,1583.75,1
k1083,1945.00,1583.75,1
k1084,1990.00,1607.50,1
k1085,1990.00,1558.75,1
s19,2150.00,1608.75,1
s18,2150.00,1558.75,1
k1087,1892.50,1152.50,1
k1088,1947.50,1152.50,1
k1091,1831.25,1152.50,1
k1092,1748.75,1153.75,1
k1093,1747.50,1232.50,1
161b,1693.75,1232.50,1
k1097,1750.00,1100.00,1
k1094,1750.00,1417.50,1
k1095,1750.00,1453.75,1
161a,1795.00,1470.00,1
k1096,1690.00,1521.25,1
161,1688.75,1568.75,1
k1098,1750.00,973.75,1
161c,1692.50,975.00,1
k1099,1750.00,786.25,1
161d,1795.00,736.25,1
k1089,2020.00,1153.75,1
162a,2020.00,1091.25,1
k1090,2020.00,1410.00,1
163a,2020.00,1470.00,1
k1100,1891.25,832.50,1
k1101,1950.00,832.50,1
162b,1996.25,835.00,1
k1102,1891.25,692.50,1
k1121,3248.75,1086.25,1
k1122,3296.25,1106.25,1
145,3333.75,1126.25,1
k1123,3282.50,998.75,1
k1124,3307.50,938.75,1
144,3333.75,882.50,1
k1125,3030.00,888.75,1
k1126,3055.00,833.75,1
142,3075.00,792.50,1
k1127,2932.50,847.50,1
k1128,2956.25,793.75,1
141,2980.00,745.00,1
k1129,2840.00,807.50,1
k1130,2868.75,753.75,1
138,2892.50,703.75,1
160,1725.00,1836.25,1
k1066,1683.75,1853.75,1
k1067,1628.75,1875.00,1
k1068,1585.00,1888.75,1
k1069,1551.25,1903.75,1
159,1490.00,1927.50,1
158a,1571.25,1853.75,1
158,1397.50,1967.50,1
k1131,2670.00,732.50,1
s16,2782.50,396.25,1
k1133,2690.00,615.00,1
k1134,2745.00,643.75,1
s17,2845.00,421.25,1
k1132,2692.50,680.00,1
k1135,2440.00,633.75,1
k1136,2461.25,585.00,1
137,2507.50,480.00,1
k1137,2270.00,561.25,1
k1138,2292.50,511.25,1
136,2320.00,452.50,1
k1139,2170.00,517.50,1
k1140,2196.25,466.25,1
135,2222.50,410.00,1
k1146,1891.25,591.25,1
k1142,2026.25,591.25,1
k1143,2027.50,511.25,1
k1141,2116.25,592.50,1
k1148,1768.75,505.00,1
k1147,1768.75,591.25,1
k1149,1768.75,452.50,1
k1145,1896.25,455.00,1
k1144,2026.25,452.50,1
134,1896.25,401.25,1
k1150,1678.75,591.25,1
k1151,1628.75,522.50,1
k1152,1612.50,478.75,1
133,1592.50,426.25,1
k1153,1443.75,597.50,1
k1154,1423.75,548.75,1
k1155,1406.25,505.00,1
k1156,1363.75,517.50,1
130,1305.00,537.50,1
132,1391.25,460.00,1
k1157,1245.00,671.25,1
k1158,1225.00,623.75,1
131,1202.50,561.25,1
k1159,1130.00,717.50,1
k1160,1110.00,667.50,1
k1162,1055.00,633.75,1
k1161,1122.50,610.00,1
s14_5,967.50,401.25,1
s15,1031.25,375.00,1
k1163,1011.25,761.25,1
k1164,991.25,712.50,1
k1165,980.00,680.00,1
k1166,861.25,726.25,1
k1168,812.50,597.50,1
128,895.00,613.75,1
k1169,787.50,608.75,1
k1171,696.25,643.75,1
126,647.50,661.25,1
k1170,743.75,622.50,1
127,757.50,661.25,1
k1167,828.75,638.75,1
k1172,595.00,925.00,1
k1173,576.25,871.25,1
125,555.00,812.50,1
k1174,516.25,955.00,1
k1176,472.50,975.00,1
k1175,493.75,906.25,1
k1178,420.00,997.50,1
k1179,471.25,1142.50,1
120,517.50,1268.75,1
123,345.00,1026.25,1
k1180,673.75,1367.50,1
k1181,628.75,1386.25,1
119,527.50,1428.75,1
k1182,790.00,1662.50,1
k1183,743.75,1681.25,1
k1184,685.00,1703.75,1
k1185,633.75,1725.00,1
116,596.25,1740.00,1
k1186,658.75,1647.50,1
117,507.50,1652.50,1
k1187,623.75,1548.75,1
118,610.00,1511.25,1
k1188,811.25,1716.25,1
k1189,907.50,1987.50,1
k1190,868.75,2008.75,1
k1191,762.50,2111.25,1
k1192,700.00,2093.75,1
k1193,686.25,1948.75,1
k1194,768.75,1913.75,1
k1195,753.75,1870.00,1
115,733.75,1816.25,1
114,633.75,2148.75,1
124,476.25,855.00,1
k2008,1672.00,3125.00,2
k2006,1883.00,3234.00,2
k2002,1883.00,3301.00,2
k2003,1672.00,3301.00,2
k2005,2094.00,3234.00,2
k2004,2094.00,3301.00,2
k2001,1883.00,3358.00,2
k2007,1672.00,3234.00,2
k2009,1883.00,3125.00,2
k2010,2094.00,3125.00,2
k2011,1652.00,3125.00,2
k2012,1652.00,2837.00,2
s21,1772.00,2837.00,2
s22,1965.00,2836.00,2
k2013,2094.00,2836.00,2
s20,1875.00,2932.00,2
k2014,1403.00,3128.00,2
k2015,1402.00,3187.00,2
205,1400.00,3218.00,2
k2156,2225.00,3126.00,2
k2155,2373.00,3076.00,2
k2157,2436.00,3091.00,2
k2158,2486.00,3110.00,2
k2159,2526.00,3126.00,2
k2160,2451.00,3177.00,2
k2161,2373.00,3366.00,2
k2162,2462.00,3405.00,2
235,2414.00,3517.00,2
234B,2538.00,3438.00,2
234a,2566.00,3142.00,2
k2153,2476.00,2854.00,2
k2154,2511.00,2871.00,2
k2150,2671.00,2403.00,2
k2151,2710.00,2420.00,2
k2152,2777.00,2451.00,2
232,2832.00,2475.00,2
k2124,2741.00,2230.00,2
k2125,2788.00,2247.00,2
231,2844.00,2273.00,2
k2126,2344.00,2063.00,2
k2127,2361.00,2026.00,2
246,2383.00,1980.00,2
k2128,2149.00,1980.00,2
k2129,2164.17,1944.00,2
245,2182.00,1906.00,2
